entry_id,date,account_code,account_name,debit,credit,description,invoice_uuid,cost_center,approver
1,2025-12-21,5000,Gastos operativos,59813.56,0.0,Provision factura INV-00001 Logistica del Centro SAPI de C,INV-00001,CC-200 Administracion,Arturo Perez Alvarez
2,2025-12-21,2100,Cuentas por pagar,0.0,59813.56,Provision factura INV-00001 Logistica del Centro SAPI de C,INV-00001,CC-200 Administracion,Arturo Perez Alvarez
3,2026-01-10,2100,Cuentas por pagar,59813.56,0.0,Liquidacion SPEI BNK-00001 factura INV-00001,INV-00001,CC-100 Operaciones,Arturo Perez Alvarez
4,2026-01-10,1100,Bancos e inversiones,0.0,59813.56,Liquidacion SPEI BNK-00001 factura INV-00001,INV-00001,CC-100 Operaciones,Arturo Perez Alvarez
5,2025-08-21,5000,Gastos operativos,84736.54,0.0,Provision factura INV-00002 Consultores Integrales SA de C,INV-00002,CC-100 Operaciones,Adriana Lopez Aguilar
6,2025-08-21,2100,Cuentas por pagar,0.0,84736.54,Provision factura INV-00002 Consultores Integrales SA de C,INV-00002,CC-100 Operaciones,Adriana Lopez Aguilar
7,2025-09-07,2100,Cuentas por pagar,84736.54,0.0,Liquidacion SPEI BNK-00002 factura INV-00002,INV-00002,CC-100 Operaciones,Adriana Lopez Aguilar
8,2025-09-07,1100,Bancos e inversiones,0.0,84736.54,Liquidacion SPEI BNK-00002 factura INV-00002,INV-00002,CC-100 Operaciones,Adriana Lopez Aguilar
9,2026-01-26,5000,Gastos operativos,119964.36,0.0,Provision factura INV-00003 Logistica Avanzadas SA de CV,INV-00003,CC-100 Operaciones,Arturo Jimenez Gonzalez
10,2026-01-26,2100,Cuentas por pagar,0.0,119964.36,Provision factura INV-00003 Logistica Avanzadas SA de CV,INV-00003,CC-100 Operaciones,Arturo Jimenez Gonzalez
11,2026-02-20,2100,Cuentas por pagar,119964.36,0.0,Liquidacion SPEI BNK-00003 factura INV-00003,INV-00003,CC-100 Operaciones,Arturo Perez Alvarez
12,2026-02-20,1100,Bancos e inversiones,0.0,119964.36,Liquidacion SPEI BNK-00003 factura INV-00003,INV-00003,CC-100 Operaciones,Arturo Perez Alvarez
13,2025-02-21,5000,Gastos operativos,71565.96,0.0,Provision factura INV-00004 Servicios del Bajio S de RL de,INV-00004,CC-100 Operaciones,Valeria Mendez Garcia
14,2025-02-21,2100,Cuentas por pagar,0.0,71565.96,Provision factura INV-00004 Servicios del Bajio S de RL de,INV-00004,CC-100 Operaciones,Valeria Mendez Garcia
